,train,val,test
13952_1,True,False,False
13952_0,True,False,False
13958_0,True,False,False
13958_3,True,False,False
13958_1,True,False,False
13958_2,True,False,False
13959_0,True,False,False
13960_0,True,False,False
13961_0,True,False,False
13961_1,True,False,False
13965_2,True,False,False
13965_0,True,False,False
13965_1,True,False,False
13971_0,True,False,False
13973_1,True,False,False
13973_0,True,False,False
13973_2,True,False,False
13974_1,True,False,False
13974_0,True,False,False
13975_0,True,False,False
13981_1,True,False,False
13981_0,True,False,False
18837_0,True,False,False
18841_0,True,False,False
18841_2,True,False,False
18841_1,True,False,False
18852_0,True,False,False
19667_0,True,False,False
19672_0,True,False,False
19678_0,True,False,False
19690_0,True,False,False
19693_0,True,False,False
19694_0,True,False,False
19695_0,True,False,False
19698_0,True,False,False
26787_0,True,False,False
26789_0,True,False,False
26795_0,True,False,False
26797_0,True,False,False
26805_0,True,False,False
26806_0,True,False,False
26809_0,True,False,False
26816_0,True,False,False
26820_0,True,False,False
26829_0,True,False,False
26831_0,True,False,False
26832_0,True,False,False
26835_0,True,False,False
26841_0,True,False,False
26846_0,True,False,False
26851_0,True,False,False
26853_0,True,False,False
13957_0,True,False,False
13964_0,True,False,False
13976_0,True,False,False
13977_1,True,False,False
13977_0,True,False,False
13977_2,True,False,False
13978_1,True,False,False
13978_0,True,False,False
13980_0,True,False,False
13980_1,True,False,False
13980_2,True,False,False
13983_0,True,False,False
13983_1,True,False,False
13983_3,True,False,False
13983_2,True,False,False
18827_2,True,False,False
18827_0,True,False,False
18827_1,True,False,False
18829_0,True,False,False
18832_0,True,False,False
18834_0,True,False,False
18836_0,True,False,False
18836_1,True,False,False
18838_0,True,False,False
18843_1,True,False,False
18843_0,True,False,False
18844_0,True,False,False
18845_0,True,False,False
18846_0,True,False,False
18847_0,True,False,False
18847_6,True,False,False
18847_8,True,False,False
18847_9,True,False,False
18847_4,True,False,False
18847_1,True,False,False
18847_10,True,False,False
18847_5,True,False,False
18847_7,True,False,False
18847_2,True,False,False
18847_3,True,False,False
18849_0,True,False,False
18849_1,True,False,False
18849_2,True,False,False
18851_0,True,False,False
19669_0,True,False,False
19676_0,True,False,False
19681_0,True,False,False
19684_0,True,False,False
19685_0,True,False,False
19689_0,True,False,False
19691_0,True,False,False
19700_0,True,False,False
26791_0,True,False,False
26799_0,True,False,False
26801_0,True,False,False
26802_0,True,False,False
26803_0,True,False,False
26808_0,True,False,False
26810_0,True,False,False
26813_0,True,False,False
26817_0,True,False,False
26821_0,True,False,False
26822_0,True,False,False
26824_0,True,False,False
26825_0,True,False,False
26826_0,True,False,False
26834_0,True,False,False
26838_0,True,False,False
26839_0,True,False,False
26842_0,True,False,False
26843_0,True,False,False
26844_0,True,False,False
26845_0,True,False,False
26847_0,True,False,False
26850_0,True,False,False
26857_0,True,False,False
26858_0,True,False,False
26859_0,False,True,False
19677_0,False,True,False
19680_0,False,True,False
13963_0,False,True,False
18839_0,False,True,False
26823_0,False,True,False
19674_0,False,True,False
18842_0,False,True,False
26800_0,False,True,False
26814_0,False,True,False
26793_0,False,True,False
26833_0,False,True,False
19675_0,False,True,False
18840_4,False,True,False
18840_3,False,True,False
18840_1,False,True,False
18840_5,False,True,False
18840_2,False,True,False
18840_0,False,True,False
19692_0,False,True,False
26804_0,False,True,False
26848_0,False,True,False
13972_0,False,True,False
13972_1,False,True,False
13954_0,False,True,False
26790_0,False,True,False
26798_0,False,False,True
18848_6,False,False,True
18848_1,False,False,True
18848_5,False,False,True
18848_4,False,False,True
18848_3,False,False,True
18848_2,False,False,True
18848_0,False,False,True
26815_0,False,False,True
26855_0,False,False,True
26788_0,False,False,True
13966_0,False,False,True
18831_0,False,False,True
19697_0,False,False,True
13962_0,False,False,True
13962_1,False,False,True
18830_0,False,False,True
13955_0,False,False,True
26794_0,False,False,True
18833_0,False,False,True
26807_0,False,False,True
26828_0,False,False,True
18835_0,False,False,True
26811_0,False,False,True
13979_0,False,False,True
26849_0,False,False,True
13953_0,False,False,True
13953_1,False,False,True
