,train,val,test
1375314A01#3_1,True,False,False
1375314A02#3_2,True,False,False
1375314A03#3_3,True,False,False
1375314A04#3_4,True,False,False
1375314A05#3_5,True,False,False
1375314A06#3_6,True,False,False
1375314A07#3_7,True,False,False
1375314A08#3_8,True,False,False
1390316A01#3_19,True,False,False
1390316A02#3_20,True,False,False
1390316A03#2_1,True,False,False
1394931A01#2_20,True,False,False
1394931A02#1_1,True,False,False
1394931A03#1_2,True,False,False
1394931A04#1_3,True,False,False
1396455B01#1_4,True,False,False
1396455B02#1_5,True,False,False
1396455B02#1_6,True,False,False
1396455B03#1_7,True,False,False
1396455B04#1_8,True,False,False
1396455B05#1_9,True,False,False
1396455B06#1_10,True,False,False
1430290A01#18_15,True,False,False
1430290A02#18_16,True,False,False
1430290A03#18_17,True,False,False
1433261A01#18_18,True,False,False
1433261A02,True,False,False
1433261A03#18_20,True,False,False
1433261A04#17_1,True,False,False
1433261A05#17_2,True,False,False
1438435B01#17_3,True,False,False
1438435B02#17_4,True,False,False
1457991C01#17_18,True,False,False
1457991C02#17_19,True,False,False
1457991C03#17_20,True,False,False
1457991C04#16_1,True,False,False
1457991C05#16_2,True,False,False
1457991D01#16_3,True,False,False
1457991D02#16_4,True,False,False
1459142A01#16_5,True,False,False
1459142A02#16_6,True,False,False
1459142A03#16_7,True,False,False
1459142A04#16_8,True,False,False
1459142A05#16_9,True,False,False
1459142A06#16_10,True,False,False
1459142A07#16_11,True,False,False
1459142A08#16_12,True,False,False
1459142A09#16_13,True,False,False
1459142A10#16_14,True,False,False
1459142A11#16_15,True,False,False
1459142A12#16_16,True,False,False
1493667A02#5_16,True,False,False
1493667A03#5_17,True,False,False
1493667A04#5_18,True,False,False
1493667A05#5_19,True,False,False
1493667A06#5_20,True,False,False
1493667A07#6_1,True,False,False
1493667A08#6_2,True,False,False
1502032A01,True,False,False
1502032A02#6_11,True,False,False
1502032A03#6_12,True,False,False
1502032A04#6_13,True,False,False
1502032A05#6_14,True,False,False
1502032A06,True,False,False
1526644A01#19_2,True,False,False
1526644A02#19_3,True,False,False
1526644A03#19_4,True,False,False
1526644A04#19_5,True,False,False
1526644A05#19_6,True,False,False
1526644A06#19_7,True,False,False
1526644A07#19_8,True,False,False
1526644A08#19_9,True,False,False
1544136A01#19_10,True,False,False
1544136A02#19_11,True,False,False
1544136A03#19_12,True,False,False
1544136A04#19_13,True,False,False
1544136A05#19_14,True,False,False
1544136A06#19_15,True,False,False
1544136A07#19_16,True,False,False
1544136A08#19_17,True,False,False
1556514A01#20_9,True,False,False
1556514A02#20_10,True,False,False
1556514A03#20_11,True,False,False
1556514A04#20_12,True,False,False
1556514A05#20_13,True,False,False
1556514A06#20_14,True,False,False
1556514A07#20_15,True,False,False
1556514A08#20_16,True,False,False
1565608A01#21_3,True,False,False
1565608A02#21_4,True,False,False
1565608A03#21_5,True,False,False
1565608A04#21_6,True,False,False
1565608A05#21_7,True,False,False
1565608A06#21_8,True,False,False
1565608A07#21_9,True,False,False
1565608A08#21_10,True,False,False
