,train,val,test
0,1375314A01#3_1,1394931A01#2_20,1482921A01#4_15
1,1375314A02#3_2,1394931A02#1_1,1482921A02#4_16
2,1375314A03#3_3,1394931A03#1_2,1482921A03#4_17
3,1375314A04#3_4,1394931A04#1_3,1482921A04#4_18
4,1375314A05#3_5,X161534A01#4_15,1482921A05#4_19
5,1375314A06#3_6,X161534A02#4_16,1482921A06#4_20
6,1375314A07#3_7,X161534A03#4_17,1482921A07#5_1
7,1375314A08#3_8,X161534A04#4_18,1502032A01
8,1386008A01#3_9,X161534A05#4_19,1502032A02#6_11
9,1386008A02#3_10,X161534A06#4_20,1502032A03#6_12
10,1386008A03#3_11,X161534A07#5_1,1502032A04#6_13
11,1386008A04#3_12,X161534A08#5_2,1502032A05#6_14
12,1386008A05#3_13,X225774A01#10_7,1502032A06
13,1386008A06#3_14,X225774A02#10_8,X125675A01#2_14
14,1386008A07#3_15,X225774A03#10_9,X125675A02#2_15
15,1386008A08#3_16,X225774A04#10_10,X125675A03#2_16
16,1386008A09#3_17,X225774A05#10_11,X125675A04#2_17
17,1386008A10#3_18,X225774A06#10_12,X125675A05#2_18
18,1390316A01#3_19,X225774A07#10_13,X125675A06#2_19
19,1390316A02#3_20,X225774A08#10_14,X125675A07#2_20
20,1390316A03#2_1,X227639A01#10_15,X125675A08#3_1
21,1394025A01#2_2,X227639A02#10_16,X125675A09#3_2
22,1394025A02#2_3,X227639A03#10_17,X125675A10#3_3
23,1394025A03#2_4,X227639A04#10_18,X125675A11#3_4
24,1394025A04#2_5,X227639A05#10_19,X125675A12#3_5
25,1394025A05#2_6,X227639A06#10_20,X125675A13#3_6
26,1394025A06#2_7,X227639A07#11_1,X125675A14#3_7
27,1394025A07#2_8,X227639A08#11_2,X125675A15#3_8
28,1394025A08#2_9,,X251184A01#11_11
29,1394025A09#2_10,,X251184A02#11_12
30,1394025A10#2_11,,X251184A03#11_13
31,1394250C01#2_12,,X251184A04#11_14
32,1394250C02#2_13,,X251184A05#11_15
33,1394250C03#2_14,,X251184A06#11_16
34,1394250C04#2_15,,X251184A07#11_17
35,1394250C05#2_16,,X251184A08#11_18
36,1394250C06#2_17,,
37,1394250C07#2_18,,
38,1394250C08#2_19,,
39,1396455B01#1_4,,
40,1396455B02#1_5,,
41,1396455B02#1_6,,
42,1396455B03#1_7,,
43,1396455B04#1_8,,
44,1396455B05#1_9,,
45,1396455B06#1_10,,
46,1412190C01,,
47,1412190C02,,
48,1412190C03,,
49,1412190C04,,
50,1412190C05,,
51,1412190C06,,
52,1412190C07,,
53,1412190C08,,
54,1420083A01#18_2,,
55,1420083A02#18_3,,
56,1420083A03#18_4,,
57,1420083A04#18_5,,
58,1420083A05#18_6,,
59,1420083A06#18_7,,
60,1420083A07#18_8,,
61,1420083A08#18_9,,
62,1420083A09#18_10,,
63,1420083A10#18_11,,
64,1430290A01#18_15,,
65,1430290A02#18_16,,
66,1430290A03#18_17,,
67,1433261A01#18_18,,
68,1433261A02,,
69,1433261A03#18_20,,
70,1433261A04#17_1,,
71,1433261A05#17_2,,
72,1438435B01#17_3,,
73,1438435B02#17_4,,
74,1445057B01#17_5,,
75,1445057B02#17_6,,
76,1445057B03#17_7,,
77,1445057B04#17_8,,
78,1457991C01#17_18,,
79,1457991C02#17_19,,
80,1457991C03#17_20,,
81,1457991C04#16_1,,
82,1457991C05#16_2,,
83,1457991D01#16_3,,
84,1457991D02#16_4,,
85,1459142A01#16_5,,
86,1459142A02#16_6,,
87,1459142A03#16_7,,
88,1459142A04#16_8,,
89,1459142A05#16_9,,
90,1459142A06#16_10,,
91,1459142A07#16_11,,
92,1459142A08#16_12,,
93,1459142A09#16_13,,
94,1459142A10#16_14,,
95,1459142A11#16_15,,
96,1459142A12#16_16,,
97,1460108A01#16_17,,
98,1460108A02#16_18,,
99,1460108A03#16_19,,
100,1460108A04#16_20,,
101,1460108A05#4_1,,
102,1460108A06#4_2,,
103,1460108A07,,
104,1460108A08,,
105,1463717B01#4_5,,
106,1463717B02#4_6,,
107,1463717B03#4_7,,
108,1463717B04#4_8,,
109,1463717B05#4_9,,
110,1463717B06#4_10,,
111,1463717B07#4_11,,
112,1463717B08#4_12,,
113,1463717B09#4_13,,
114,1463717B10#4_14,,
115,1491815A01#5_8,,
