,train,val,test
0,13952_1,13971_0,13959_0
1,13952_0,19674_0,26859_0
2,13960_0,19678_0,13958_0
3,13961_0,19694_0,13958_3
4,13961_1,26805_0,13958_1
5,13963_0,13966_0,13958_2
6,13965_2,26788_0,19698_0
7,13965_0,19693_0,26851_0
8,13965_1,13974_1,13962_0
9,13973_1,13974_0,13962_1
10,13973_0,13972_0,26829_0
11,13973_2,13972_1,26855_0
12,13975_0,19691_0,18831_0
13,13981_1,19681_0,26842_0
14,13981_0,26838_0,26793_0
15,18837_0,26810_0,19669_0
16,18839_0,26803_0,18834_0
17,18841_0,18846_0,18845_0
18,18841_2,26826_0,18847_0
19,18841_1,26824_0,18847_6
20,18842_0,13980_0,18847_8
21,18848_6,13980_1,18847_9
22,18848_1,13980_2,18847_4
23,18848_5,26845_0,18847_1
24,18848_4,,18847_10
25,18848_3,,18847_5
26,18848_2,,18847_7
27,18848_0,,18847_2
28,18852_0,,18847_3
29,19667_0,,19684_0
30,19672_0,,26790_0
31,19677_0,,26814_0
32,19680_0,,13977_1
33,19690_0,,13977_0
34,19695_0,,13977_2
35,19697_0,,18849_0
36,26787_0,,18849_1
37,26789_0,,18849_2
38,26795_0,,
39,26797_0,,
40,26798_0,,
41,26800_0,,
42,26806_0,,
43,26809_0,,
44,26815_0,,
45,26816_0,,
46,26820_0,,
47,26823_0,,
48,26831_0,,
49,26832_0,,
50,26835_0,,
51,26841_0,,
52,26846_0,,
53,26853_0,,
54,13953_0,,
55,13953_1,,
56,13954_0,,
57,13955_0,,
58,13957_0,,
59,13964_0,,
60,13976_0,,
61,13978_1,,
62,13978_0,,
63,13979_0,,
64,13983_0,,
65,13983_1,,
66,13983_3,,
67,13983_2,,
68,18827_2,,
69,18827_0,,
70,18827_1,,
71,18829_0,,
72,18830_0,,
73,18832_0,,
74,18833_0,,
75,18835_0,,
76,18836_0,,
77,18836_1,,
78,18838_0,,
79,18840_4,,
80,18840_3,,
81,18840_1,,
82,18840_5,,
83,18840_2,,
84,18840_0,,
85,18843_1,,
86,18843_0,,
87,18844_0,,
88,18851_0,,
89,19675_0,,
90,19676_0,,
91,19685_0,,
92,19689_0,,
93,19692_0,,
94,19700_0,,
95,26791_0,,
96,26794_0,,
97,26799_0,,
98,26801_0,,
99,26802_0,,
100,26804_0,,
101,26807_0,,
102,26808_0,,
103,26811_0,,
104,26813_0,,
105,26817_0,,
106,26821_0,,
107,26822_0,,
108,26825_0,,
109,26828_0,,
110,26833_0,,
111,26834_0,,
112,26839_0,,
113,26843_0,,
114,26844_0,,
115,26847_0,,
116,26848_0,,
117,26849_0,,
118,26850_0,,
119,26857_0,,
120,26858_0,,
