,train,val,test
0,1386008A01#3_9,1396455B01#1_4,1375314A01#3_1
1,1386008A02#3_10,1396455B02#1_5,1375314A02#3_2
2,1386008A03#3_11,1396455B02#1_6,1375314A03#3_3
3,1386008A04#3_12,1396455B03#1_7,1375314A04#3_4
4,1386008A05#3_13,1396455B04#1_8,1375314A05#3_5
5,1386008A06#3_14,1396455B05#1_9,1375314A06#3_6
6,1386008A07#3_15,1396455B06#1_10,1375314A07#3_7
7,1386008A08#3_16,1412190C01,1375314A08#3_8
8,1386008A09#3_17,1412190C02,1463717B01#4_5
9,1386008A10#3_18,1412190C03,1463717B02#4_6
10,1390316A01#3_19,1412190C04,1463717B03#4_7
11,1390316A02#3_20,1412190C05,1463717B04#4_8
12,1390316A03#2_1,1412190C06,1463717B05#4_9
13,1394025A01#2_2,1412190C07,1463717B06#4_10
14,1394025A02#2_3,1412190C08,1463717B07#4_11
15,1394025A03#2_4,1445057B01#17_5,1463717B08#4_12
16,1394025A04#2_5,1445057B02#17_6,1463717B09#4_13
17,1394025A05#2_6,1445057B03#17_7,1463717B10#4_14
18,1394025A06#2_7,1445057B04#17_8,1502032A01
19,1394025A07#2_8,X161534A01#4_15,1502032A02#6_11
20,1394025A08#2_9,X161534A02#4_16,1502032A03#6_12
21,1394025A09#2_10,X161534A03#4_17,1502032A04#6_13
22,1394025A10#2_11,X161534A04#4_18,1502032A05#6_14
23,1394250C01#2_12,X161534A05#4_19,1502032A06
24,1394250C02#2_13,X161534A06#4_20,1549139A01#19_18
25,1394250C03#2_14,X161534A07#5_1,1549139A02#19_19
26,1394250C04#2_15,X161534A08#5_2,1549139A03#19_20
27,1394250C05#2_16,,1549139A04#20_1
28,1394250C06#2_17,,1549139A05#20_2
29,1394250C07#2_18,,
30,1394250C08#2_19,,
31,1394931A01#2_20,,
32,1394931A02#1_1,,
33,1394931A03#1_2,,
34,1394931A04#1_3,,
35,1420083A01#18_2,,
36,1420083A02#18_3,,
37,1420083A03#18_4,,
38,1420083A04#18_5,,
39,1420083A05#18_6,,
40,1420083A06#18_7,,
41,1420083A07#18_8,,
42,1420083A08#18_9,,
43,1420083A09#18_10,,
44,1420083A10#18_11,,
45,1430290A01#18_15,,
46,1430290A02#18_16,,
47,1430290A03#18_17,,
48,1433261A01#18_18,,
49,1433261A02,,
50,1433261A03#18_20,,
51,1433261A04#17_1,,
52,1433261A05#17_2,,
53,1438435B01#17_3,,
54,1438435B02#17_4,,
55,1457991C01#17_18,,
56,1457991C02#17_19,,
57,1457991C03#17_20,,
58,1457991C04#16_1,,
59,1457991C05#16_2,,
60,1457991D01#16_3,,
61,1457991D02#16_4,,
62,1459142A01#16_5,,
63,1459142A02#16_6,,
64,1459142A03#16_7,,
65,1459142A04#16_8,,
66,1459142A05#16_9,,
67,1459142A06#16_10,,
68,1459142A07#16_11,,
69,1459142A08#16_12,,
70,1459142A09#16_13,,
71,1459142A10#16_14,,
72,1459142A11#16_15,,
73,1459142A12#16_16,,
74,1460108A01#16_17,,
75,1460108A02#16_18,,
76,1460108A03#16_19,,
77,1460108A04#16_20,,
78,1460108A05#4_1,,
79,1460108A06#4_2,,
80,1460108A07,,
81,1460108A08,,
82,1482921A01#4_15,,
83,1482921A02#4_16,,
84,1482921A03#4_17,,
85,1482921A04#4_18,,
86,1482921A05#4_19,,
87,1482921A06#4_20,,
88,1482921A07#5_1,,
89,1491815A01#5_8,,
90,1491815A02#5_9,,
91,1491815A03#5_10,,
92,1491815A04#5_11,,
93,1491815A05#5_12,,
94,1491815A06#5_13,,
95,1491815A07#5_14,,
96,1491815A08#5_15,,
97,1493667A02#5_16,,
98,1493667A03#5_17,,
99,1493667A04#5_18,,
100,1493667A05#5_19,,
101,1493667A06#5_20,,
102,1493667A07#6_1,,
103,1493667A08#6_2,,
104,1494509A01#6_3,,
105,1494509A02#6_4,,
106,1494509A03#6_5,,
107,1494509A04#6_6,,
108,1494509A05#6_7,,
109,1494509A06#6_8,,
110,1494509A07#6_9,,
111,1520691A01#6_16,,
112,1520691A02#6_17,,
113,1520691A03#6_18,,
114,1520691A04#6_19,,
115,1520691A05#6_20,,
116,1520691A06#19_1,,
117,1526644A01#19_2,,
118,1526644A02#19_3,,
119,1526644A03#19_4,,
120,1526644A04#19_5,,
121,1526644A05#19_6,,
122,1526644A06#19_7,,
123,1526644A07#19_8,,
124,1526644A08#19_9,,
125,1544136A01#19_10,,
126,1544136A02#19_11,,
127,1544136A03#19_12,,
128,1544136A04#19_13,,
129,1544136A05#19_14,,
130,1544136A06#19_15,,
131,1544136A07#19_16,,
132,1544136A08#19_17,,
133,1549818A01#20_3,,
134,1549818A02#20_4,,
135,1549818A03#20_5,,
136,1549818A04#20_6,,
137,1549818A05#20_7,,
138,1549818A06#20_8,,
139,1556514A01#20_9,,
140,1556514A02#20_10,,
141,1556514A03#20_11,,
142,1556514A04#20_12,,
143,1556514A05#20_13,,
144,1556514A06#20_14,,
145,1556514A07#20_15,,
146,1556514A08#20_16,,
147,1561277B01#2_1,,
148,1561277B02#2_2,,
149,1561277B03#2_3,,
150,1561277B04#2_4,,
151,1561277B05#2_5,,
152,1565608A01#21_3,,
153,1565608A02#21_4,,
154,1565608A03#21_5,,
155,1565608A04#21_6,,
156,1565608A05#21_7,,
157,1565608A06#21_8,,
158,1565608A07#21_9,,
159,1565608A08#21_10,,
160,1569744A01#21_11,,
161,1569744A02#21_12,,
162,1569744A03#21_13,,
163,1569744A04#21_14,,
164,1569744A05#21_15,,
165,1569744A06#21_16,,
166,1569744A07#21_17,,
167,1569744A08#21_18,,
168,1569744A09#21_19,,
169,1569744A10#21_20,,
170,1569744A11#7_1,,
171,1569744A12#7_2,,
172,1569744A13#7_3,,
173,1569744A14#7_4,,
174,X125675A01#2_14,,
175,X125675A02#2_15,,
176,X125675A03#2_16,,
177,X125675A04#2_17,,
178,X125675A05#2_18,,
179,X125675A06#2_19,,
180,X125675A07#2_20,,
181,X125675A08#3_1,,
182,X125675A09#3_2,,
183,X125675A10#3_3,,
184,X125675A11#3_4,,
185,X125675A12#3_5,,
186,X125675A13#3_6,,
187,X125675A14#3_7,,
188,X125675A15#3_8,,
189,X127179A01#3_9,,
190,X127179A02#3_10,,
191,X127179A03#3_11,,
192,X127179A04#3_12,,
193,X127179A05#3_13,,
194,X127179A06#3_14,,
195,X133886A01#3_15,,
196,X133886A02#3_16,,
197,X133886A03#3_17,,
198,X133886A04#3_18,,
199,X133886A05#3_19,,
200,X133886A06#3_20,,
201,X150846A01#4_1,,
202,X150846A02#4_2,,
203,X150846A03#4_3,,
204,X150846A04#4_4,,
205,X150846A05#4_5,,
206,X150846A06#4_6,,
207,X150846A07#4_7,,
208,X150846A08#4_8,,
209,X155551A01#4_9,,
210,X155551A02#4_10,,
211,X155551A03#4_11,,
212,X155551A04#4_12,,
213,X155551A05#4_13,,
214,X155551A06#4_14,,
215,X169778A01#5_3,,
216,X169778A02#5_4,,
217,X169778A03#5_5,,
218,X169778A04#5_6,,
219,X169778A05#5_7,,
220,X169778A06#5_8,,
221,X169778A07#5_9,,
222,X169778A08#5_10,,
223,X172464A01#5_11,,
224,X172464A02#5_12,,
225,X172464A03#5_13,,
226,X172464A04#5_14,,
227,X172464A05#5_15,,
228,X172464A06#5_16,,
229,X172464A07#5_17,,
230,X172464A08#5_18,,
231,X179852A01#5_19,,
232,X179852A02#5_20,,
233,X179852A03#6_1,,
234,X179852A04#6_2,,
235,X179852A05#6_3,,
236,X179852A06#6_4,,
237,X197133A01#6_11,,
238,X197133A02#6_12,,
239,X197133A03#6_13,,
240,X197133A04#6_14,,
241,X197133A05#6_15,,
242,X197133A06#6_16,,
243,X197133A07#6_17,,
244,X197133A08#6_18,,
245,X207531C01#7_11,,
246,X207531C02#7_12,,
247,X207531C03#7_13,,
248,X207531C04#7_14,,
249,X207531C05#7_15,,
250,X207531C06#7_16,,
251,X207531C07#7_17,,
252,X207531C08#7_18,,
253,X207531C09#7_19,,
254,X207531C10#7_20,,
255,X207531C11#8_1,,
256,X207531C12#8_2,,
257,X207531C13#8_3,,
258,X207531C14#8_4,,
259,X207531C15#8_5,,
260,X207531C16#8_6,,
261,X207531C17#8_7,,
262,X207531C18#8_8,,
263,X207531C19#8_9,,
264,X207531C20#8_10,,
265,X209790A01#8_11,,
266,X209790A02#8_12,,
267,X209790A03#8_13,,
268,X209790A04#8_14,,
269,X209790A05#8_15,,
270,X209790A06#8_16,,
271,X209790A07#8_17,,
272,X209790A08#8_18,,
273,X209790A09#8_19,,
274,X209790A10#8_20,,
275,X209790A11#9_1,,
276,X209790A12#9_2,,
277,X211079A01#9_3,,
278,X211079A02#9_4,,
279,X211079A03#9_5,,
280,X211079A04#9_6,,
281,X211079A05#9_7,,
282,X211079A06#9_8,,
283,X211079A07#9_9,,
284,X211079A08#9_10,,
285,X219408A01#9_11,,
286,X219408A02#9_12,,
287,X219408A03#9_13,,
288,X219408A04#9_14,,
289,X219408A05#9_15,,
290,X219408A06#9_16,,
291,X219408A07#9_17,,
292,X219408A08#9_18,,
293,X224490A01#9_19,,
294,X224490A02#9_20,,
295,X224490A03#10_1,,
296,X224490A04#10_2,,
297,X224490A05#10_3,,
298,X224490A06#10_4,,
299,X224490A07#10_5,,
300,X224490A08#10_6,,
301,X225774A01#10_7,,
302,X225774A02#10_8,,
303,X225774A03#10_9,,
304,X225774A04#10_10,,
305,X225774A05#10_11,,
306,X225774A06#10_12,,
307,X225774A07#10_13,,
308,X225774A08#10_14,,
309,X227639A01#10_15,,
310,X227639A02#10_16,,
311,X227639A03#10_17,,
312,X227639A04#10_18,,
313,X227639A05#10_19,,
314,X227639A06#10_20,,
315,X227639A07#11_1,,
316,X227639A08#11_2,,
317,X242275A01#11_3,,
318,X242275A02#11_4,,
319,X242275A03#11_5,,
320,X242275A04#11_6,,
321,X242275A05#11_7,,
322,X242275A06#11_8,,
323,X242275A07#11_9,,
324,X242275A08#11_10,,
325,X251184A01#11_11,,
326,X251184A02#11_12,,
327,X251184A03#11_13,,
328,X251184A04#11_14,,
329,X251184A05#11_15,,
330,X251184A06#11_16,,
331,X251184A07#11_17,,
332,X251184A08#11_18,,
