,train,val,test
0,13952_1,26829_0,19672_0
1,13952_0,13959_0,26797_0
2,13958_0,26788_0,19695_0
3,13958_3,26820_0,18839_0
4,13958_1,26798_0,18831_0
5,13958_2,26787_0,19678_0
6,13961_0,26805_0,26828_0
7,13961_1,18848_6,26849_0
8,13962_0,18848_1,26857_0
9,13962_1,18848_5,18845_0
10,13963_0,18848_4,26810_0
11,13965_2,18848_3,18835_0
12,13965_0,18848_2,26807_0
13,13965_1,18848_0,19700_0
14,13966_0,19667_0,
15,13971_0,26835_0,
16,13974_1,26855_0,
17,13974_0,13960_0,
18,13975_0,19680_0,
19,13981_1,26800_0,
20,13981_0,26795_0,
21,18837_0,13973_1,
22,18841_0,13973_0,
23,18841_2,13973_2,
24,18841_1,26832_0,
25,18842_0,26801_0,
26,18852_0,26804_0,
27,19674_0,26834_0,
28,19677_0,26842_0,
29,19690_0,26850_0,
30,19693_0,13983_0,
31,19694_0,13983_1,
32,19697_0,13983_3,
33,19698_0,13983_2,
34,26789_0,13957_0,
35,26806_0,19689_0,
36,26809_0,18849_0,
37,26815_0,18849_1,
38,26816_0,18849_2,
39,26823_0,18830_0,
40,26831_0,26821_0,
41,26841_0,13979_0,
42,26846_0,13978_1,
43,26851_0,13978_0,
44,26853_0,18836_0,
45,26859_0,18836_1,
46,13954_0,26838_0,
47,13955_0,13953_0,
48,13964_0,13953_1,
49,13972_0,26845_0,
50,13972_1,26803_0,
51,13976_0,18846_0,
52,13977_1,26833_0,
53,13977_0,18847_0,
54,13977_2,18847_6,
55,13980_0,18847_8,
56,13980_1,18847_9,
57,13980_2,18847_4,
58,18827_2,18847_1,
59,18827_0,18847_10,
60,18827_1,18847_5,
61,18829_0,18847_7,
62,18832_0,18847_2,
63,18833_0,18847_3,
64,18834_0,19669_0,
65,18838_0,,
66,18840_4,,
67,18840_3,,
68,18840_1,,
69,18840_5,,
70,18840_2,,
71,18840_0,,
72,18843_1,,
73,18843_0,,
74,18844_0,,
75,18851_0,,
76,19675_0,,
77,19676_0,,
78,19681_0,,
79,19684_0,,
80,19685_0,,
81,19691_0,,
82,19692_0,,
83,26790_0,,
84,26791_0,,
85,26793_0,,
86,26794_0,,
87,26799_0,,
88,26802_0,,
89,26808_0,,
90,26811_0,,
91,26813_0,,
92,26814_0,,
93,26817_0,,
94,26822_0,,
95,26824_0,,
96,26825_0,,
97,26826_0,,
98,26839_0,,
99,26843_0,,
100,26844_0,,
101,26847_0,,
102,26848_0,,
103,26858_0,,
