,train,val,test
0,1375314A01#3_1,1394025A01#2_2,1420083A01#18_2
1,1375314A02#3_2,1394025A02#2_3,1420083A02#18_3
2,1375314A03#3_3,1394025A03#2_4,1420083A03#18_4
3,1375314A04#3_4,1394025A04#2_5,1420083A04#18_5
4,1375314A05#3_5,1394025A05#2_6,1420083A05#18_6
5,1375314A06#3_6,1394025A06#2_7,1420083A06#18_7
6,1375314A07#3_7,1394025A07#2_8,1420083A07#18_8
7,1375314A08#3_8,1394025A08#2_9,1420083A08#18_9
8,1386008A01#3_9,1394025A09#2_10,1420083A09#18_10
9,1386008A02#3_10,1394025A10#2_11,1420083A10#18_11
10,1386008A03#3_11,1502032A01,1561277B01#2_1
11,1386008A04#3_12,1502032A02#6_11,1561277B02#2_2
12,1386008A05#3_13,1502032A03#6_12,1561277B03#2_3
13,1386008A06#3_14,1502032A04#6_13,1561277B04#2_4
14,1386008A07#3_15,1502032A05#6_14,1561277B05#2_5
15,1386008A08#3_16,1502032A06,X209790A01#8_11
16,1386008A09#3_17,X125675A01#2_14,X209790A02#8_12
17,1386008A10#3_18,X125675A02#2_15,X209790A03#8_13
18,1390316A01#3_19,X125675A03#2_16,X209790A04#8_14
19,1390316A02#3_20,X125675A04#2_17,X209790A05#8_15
20,1390316A03#2_1,X125675A05#2_18,X209790A06#8_16
21,1394250C01#2_12,X125675A06#2_19,X209790A07#8_17
22,1394250C02#2_13,X125675A07#2_20,X209790A08#8_18
23,1394250C03#2_14,X125675A08#3_1,X209790A09#8_19
24,1394250C04#2_15,X125675A09#3_2,X209790A10#8_20
25,1394250C05#2_16,X125675A10#3_3,X209790A11#9_1
26,1394250C06#2_17,X125675A11#3_4,X209790A12#9_2
27,1394250C07#2_18,X125675A12#3_5,X251184A01#11_11
28,1394250C08#2_19,X125675A13#3_6,X251184A02#11_12
29,1394931A01#2_20,X125675A14#3_7,X251184A03#11_13
30,1394931A02#1_1,X125675A15#3_8,X251184A04#11_14
31,1394931A03#1_2,X127179A01#3_9,X251184A05#11_15
32,1394931A04#1_3,X127179A02#3_10,X251184A06#11_16
33,1396455B01#1_4,X127179A03#3_11,X251184A07#11_17
34,1396455B02#1_5,X127179A04#3_12,X251184A08#11_18
35,1396455B02#1_6,X127179A05#3_13,
36,1396455B03#1_7,X127179A06#3_14,
37,1396455B04#1_8,,
38,1396455B05#1_9,,
39,1396455B06#1_10,,
40,1412190C01,,
41,1412190C02,,
42,1412190C03,,
43,1412190C04,,
44,1412190C05,,
45,1412190C06,,
46,1412190C07,,
47,1412190C08,,
48,1430290A01#18_15,,
49,1430290A02#18_16,,
50,1430290A03#18_17,,
51,1433261A01#18_18,,
52,1433261A02,,
53,1433261A03#18_20,,
54,1433261A04#17_1,,
55,1433261A05#17_2,,
56,1438435B01#17_3,,
57,1438435B02#17_4,,
58,1445057B01#17_5,,
59,1445057B02#17_6,,
60,1445057B03#17_7,,
61,1445057B04#17_8,,
62,1457991C01#17_18,,
63,1457991C02#17_19,,
64,1457991C03#17_20,,
65,1457991C04#16_1,,
66,1457991C05#16_2,,
67,1457991D01#16_3,,
68,1457991D02#16_4,,
69,1459142A01#16_5,,
70,1459142A02#16_6,,
71,1459142A03#16_7,,
72,1459142A04#16_8,,
73,1459142A05#16_9,,
74,1459142A06#16_10,,
75,1459142A07#16_11,,
76,1459142A08#16_12,,
77,1459142A09#16_13,,
78,1459142A10#16_14,,
79,1459142A11#16_15,,
80,1459142A12#16_16,,
81,1460108A01#16_17,,
82,1460108A02#16_18,,
83,1460108A03#16_19,,
84,1460108A04#16_20,,
85,1460108A05#4_1,,
86,1460108A06#4_2,,
87,1460108A07,,
88,1460108A08,,
89,1463717B01#4_5,,
90,1463717B02#4_6,,
91,1463717B03#4_7,,
92,1463717B04#4_8,,
93,1463717B05#4_9,,
94,1463717B06#4_10,,
95,1463717B07#4_11,,
96,1463717B08#4_12,,
97,1463717B09#4_13,,
