,train,val,test
0,26807_0,13980_0,26791_0
1,19669_0,26787_0,18843_1
2,26848_0,26843_0,26803_0
3,18849_0,19667_0,26817_0
4,18836_0,13980_1,19694_0
5,26801_0,13958_0,18848_6
6,18847_0,26835_0,18843_0
7,26850_0,13978_1,26846_0
8,26844_0,13964_0,18848_1
9,26795_0,13971_0,26838_0
10,18837_0,13978_0,18848_5
11,18827_2,19691_0,26855_0
12,13973_1,18852_0,18831_0
13,18836_1,13979_0,18848_4
14,26833_0,13957_0,18848_3
15,18847_6,13958_3,18835_0
16,13961_0,13958_1,19677_0
17,18847_8,26858_0,18848_2
18,18849_1,26789_0,26808_0
19,19697_0,26824_0,18848_0
20,26834_0,18840_4,19692_0
21,13952_1,18840_3,
22,18847_9,19693_0,
23,19674_0,26832_0,
24,26809_0,13965_2,
25,18841_0,13963_0,
26,18827_0,13955_0,
27,13983_0,19689_0,
28,18847_4,13953_0,
29,26802_0,18844_0,
30,18849_2,18846_0,
31,26839_0,18840_1,
32,19681_0,26831_0,
33,18847_1,26841_0,
34,13959_0,19684_0,
35,26806_0,18840_5,
36,26816_0,13965_0,
37,13973_0,18829_0,
38,13977_1,13953_1,
39,18841_2,18840_2,
40,18832_0,18833_0,
41,13983_1,26829_0,
42,26828_0,13965_1,
43,26822_0,13958_2,
44,19685_0,26820_0,
45,26851_0,18830_0,
46,18847_10,26799_0,
47,18847_5,13980_2,
48,13962_0,18840_0,
49,13981_1,18838_0,
50,26826_0,26810_0,
51,26821_0,26859_0,
52,13977_0,26797_0,
53,13974_1,,
54,19672_0,,
55,13961_1,,
56,18845_0,,
57,26847_0,,
58,19675_0,,
59,13954_0,,
60,13966_0,,
61,26825_0,,
62,26805_0,,
63,26814_0,,
64,26815_0,,
65,13976_0,,
66,26853_0,,
67,26811_0,,
68,13975_0,,
69,19690_0,,
70,26842_0,,
71,19700_0,,
72,26794_0,,
73,26790_0,,
74,26849_0,,
75,13983_3,,
76,26845_0,,
77,19698_0,,
78,26788_0,,
79,26823_0,,
80,18841_1,,
81,26813_0,,
82,13952_0,,
83,19695_0,,
84,26798_0,,
85,13962_1,,
86,18847_7,,
87,18827_1,,
88,13981_0,,
89,13983_2,,
90,18842_0,,
91,18847_2,,
92,13974_0,,
93,13973_2,,
94,26857_0,,
95,13977_2,,
96,19680_0,,
97,26804_0,,
98,19676_0,,
99,18834_0,,
100,13972_0,,
101,19678_0,,
102,26800_0,,
103,13960_0,,
104,18839_0,,
105,18851_0,,
106,18847_3,,
107,26793_0,,
108,13972_1,,
